ASIN,review_id,review_page,review_title,review_rating_text,review_rating_value,review_date,review_text,review_char_length,review_word_count,helpful_text,helpful_count,is_verified_purchase
B0FCY7L7SZ,R371A4FVV6O9D,0,5.0 out of 5 stars,5.0 out of 5 stars,5.0,"Reviewed in the United States on April 13, 2026","Fantastic case. It has the perfect amount of ""grip"" feel so it won't slip from your hand, but unlike a lot of cases, it sill not gather dust or feel sticky. All of the buttons work perfectly, especially the camera control button. The magnet connection on the back is the strongest I have had on a case so far, there is an almost 0% chance this will fall off a magsafe connector. ESR is now my first choice for cases, and I will be looking into what else they make.",464,34,One person found this helpful,0,Yes
B0FCY7L7SZ,R37261GQ77J6Y9,0,5.0 out of 5 stars,5.0 out of 5 stars,5.0,"Reviewed in the United States on March 6, 2026","This ESR case for the iPhone 17 Pro is a great combination of protection and style. I like the clear back because it lets the phone's design show through while still providing solid protection. The case feels very sturdy and well made. It has military-grade drop protection, and the corners seem reinforced, which gives me confidence that it will protect the phone from everyday drops and bumps. The fit is also perfect-snug without being difficult to put on or remove. One of the best features is the MagSafe compatibility. The magnets are strong and hold securely with chargers and accessories, which is really convenient. The camera protection and raised edges are also nice touches that help keep the lenses and screen from contacting surfaces. Overall, this is a great clear case if you want reliable protection, strong MagSafe performance, and a clean look without adding a lot of bulk to your phone. Highly recommended.",926,51,5 people found this helpful,5,Yes
B0FCY7L7SZ,R1JW64NP8W9QKR,0,5.0 out of 5 stars,5.0 out of 5 stars,5.0,"Reviewed in the United States on April 9, 2026","The ESR HaloLock case for the iPhone 16 Pro is one of the best cases I've used in terms of balancing protection with a slim profile. The MagSafe compatibility works flawlessly - my MagSafe charger and wallet snap on perfectly every time without any misalignment issues. The clear back shows off the iPhone's design while the military-grade drop protection gives me real confidence that my phone is protected from everyday bumps and falls. I particularly appreciate that the Camera Control button cutout is precisely placed, making it easy to use that feature without removing the case. The case adds minimal bulk while still providing solid grip, and after several months of use it hasn't yellowed or discolored at all, which is a common complaint with clear cases from other brands.",783,53,,0,Yes
B0FCY7L7SZ,R2DX2D2736R33E,0,5.0 out of 5 stars,5.0 out of 5 stars,5.0,"Reviewed in the United States on April 10, 2026","Grippy, fits my phone perfectly with no gaps between it and the phone. Fits the buttons like a glove, I think this phone case fits better than any other case I've tried! Super cute, love the sparkles, it's super thick and seems to protect well. Nice and sturdy. Very happy with my purchase",289,20,,0,Yes
B0FCY7L7SZ,R11DGHWBRNOXFH,0,Phone case,5.0 out of 5 stars,5.0,"Reviewed in India on December 23, 2025","Phone case cover is good , quality is good , gives proper protection to the phone",81,4,,0,Yes
B0FCY7L7SZ,R12CYYWV6I08HN,0,Excellent product!,5.0 out of 5 stars,5.0,"Reviewed in the Netherlands on September 23, 2025",Item arrived on time and was exactly as decribed. Excellent product!,68,6,,0,Yes
B0FCY7L7SZ,R12JX984C2AV7G,0,Great phone case for IPhone 16,5.0 out of 5 stars,5.0,"Reviewed in Ireland on February 10, 2026",Great phone case for my iPhone 16 and I love how it has the case protects the side button that other cases leave a whole in the case for.,137,7,,0,Yes
B0G19LH9T6,R2HR9DDVL3T34H,0,5.0 out of 5 stars,5.0 out of 5 stars,5.0,"Reviewed in the United States on February 14, 2026","Just got a new work phone and needed a cover that wouldn't break the company budget. With Apple covers at a whopping $50, I needed to find a good alternative that still encompassed the silky-sturdy silicone outside and the soft lining of the brand name cover, plus a custom fit. This Miracase is lovely in color, feel, grip and quality. It fits every button perfectly, and even provides protection for some of the camera lens area (which the Apple case does not). Bonus? I got it in the company color. At this price, I may get a couple more for my personal phones. Sweet!",571,52,27 people found this helpful,27,Yes
B0G19LH9T6,R1HMOGDFKWUM38,0,5.0 out of 5 stars,5.0 out of 5 stars,5.0,"Reviewed in the United States on April 13, 2026","This case is pretty much perfect. The silicone feels nice in my hand, protects the camera very well and has grip inside to keep the phone in place which I love! It covers the camera control button but it has no problem with feeling my finger. My wireless charger works fine and the MagSafe is pretty strong. This is overall an amazing phone case that I would definitely recommend!",380,23,One person found this helpful,0,Yes
B0G19LH9T6,RE3PHV4EQDGON,0,5.0 out of 5 stars,5.0 out of 5 stars,5.0,"Reviewed in the United States on March 24, 2026",Gorgeous color and soft texture. It's perfect for gripping without straining your hand. I love that it still works with my magnetic car holder and receives a charge just great. Will probably buy more colors!,207,17,8 people found this helpful,8,Yes
